1,3,3,1,6.000422,0.355326
1,7,4,2,5.994691,0.150780
1,10,3,3,6.288819,0.288707
1,13,3,4,2.813449,0.394633
2,16,3,5,2.804965,0.273186
1,19,3,6,2.106810,0.423183
1,22,3,7,3.355441,0.389927
1,25,3,8,2.260769,0.082637
3,28,3,14,0.818529,0.325963
1,31,3,16,0.700106,0.326773
3,34,3,18,0.811306,0.362970
3,37,3,21,0.811526,0.479492
3,41,4,23,1.644392,0.339162
3,44,3,24,1.286405,0.362980
3,47,3,29,2.634456,0.290762
3,50,3,30,1.369713,0.291057
2,53,3,32,2.924082,0.282883
3,56,3,34,2.909498,0.280112
1,3,3,1,5.702190,0.591885
2,6,3,2,1.162372,0.565819
2,9,3,3,1.094036,0.410315
2,12,3,4,1.914151,0.598451
3,15,3,9,1.918321,0.514067
3,18,3,11,2.705615,0.535005
2,21,3,16,2.072745,0.505630
3,24,3,22,9.653669,0.790915
2,27,3,23,10.372350,0.201337
1,3,3,1,3.938534,0.388476
2,6,3,2,0.851766,0.463896
2,9,3,3,0.716081,0.356038
2,12,3,4,0.738596,0.357054
2,15,3,6,1.292891,0.352320
3,18,3,12,1.012628,0.219759
1,21,3,13,1.113137,0.276919
2,25,4,20,1.301087,0.337008
3,28,3,21,0.745653,0.353754
3,31,3,26,1.041596,0.433947
3,35,4,28,1.223525,0.294545
3,38,3,29,1.250617,0.267301
3,41,3,30,1.667103,0.448134
2,3,3,1,5.065656,0.725077
2,6,3,2,7.105059,0.979593
2,9,3,3,6.770811,0.648348
2,12,3,4,6.841195,0.695197
2,15,3,5,6.419329,0.693701
2,18,3,12,8.623542,0.604109
2,21,3,13,10.267069,0.497993
2,24,3,14,10.706804,0.501238
3,27,3,18,8.961649,0.566406
3,31,4,19,9.373637,0.558308
3,34,3,22,9.486120,0.238697
3,37,3,24,6.180055,0.235859
3,41,4,25,10.268148,0.234166
2,44,3,26,10.639007,0.235233
3,48,4,27,8.224658,0.238330
1,3,3,1,9.024132,0.612950
2,6,3,3,3.946324,0.591331
1,9,3,4,10.317815,0.526831
1,12,3,5,9.573822,0.529649
2,15,3,6,5.999955,0.587862
1,18,3,7,12.096865,0.598195
1,22,4,8,11.973437,0.598267
1,25,3,9,12.882256,0.475387
2,28,3,10,9.128273,0.654616
2,31,3,11,7.894255,0.561531
1,34,3,12,13.789369,0.622160
2,38,4,13,10.086039,0.499622
1,42,4,14,8.953166,0.426034
2,45,3,15,9.033930,0.431160
1,48,3,16,9.390663,0.449458
3,51,3,26,10.508362,0.482636
3,55,4,31,11.296327,0.532352
3,58,3,34,13.250985,0.437545
2,61,3,35,13.197245,0.432370
1,3,3,1,7.113144,0.562862
1,6,3,2,6.782873,0.506669
2,9,3,3,3.539720,0.676754
2,12,3,4,3.367298,0.886751
1,16,4,5,3.367198,0.895360
2,19,3,10,7.606664,0.744879
3,22,3,12,6.921155,0.661829
3,25,3,13,4.947001,0.613455
3,28,3,14,7.726491,0.847340
2,31,3,20,7.114303,0.739546
3,35,4,23,10.717781,0.692528
2,38,3,24,12.593489,0.609497
2,41,3,31,14.033398,0.720726
1,3,3,1,10.574012,0.825777
3,6,3,2,2.364788,0.919417
1,9,3,7,9.091050,1.126637
2,12,3,8,8.697192,1.076908
2,15,3,11,6.269439,1.288289
3,18,3,12,6.990512,0.828407
3,21,3,13,12.945295,1.046571
2,24,3,15,13.032605,1.234309
3,27,3,17,12.446726,0.673665
2,30,3,19,14.530320,0.427524
3,33,3,22,13.956518,0.449659
3,36,3,30,16.578352,0.703280
2,3,3,1,2.778327,0.580520
2,6,3,2,2.518078,0.462938
1,9,3,3,7.029970,0.453512
2,12,3,4,2.406029,0.457605
2,15,3,6,3.314864,0.482912
2,18,3,7,2.704044,0.494707
2,21,3,8,3.615270,0.490383
2,24,3,16,4.750926,0.659373
3,27,3,19,4.663476,0.376057
2,30,3,26,7.654169,0.306572
3,33,3,27,5.994965,0.299198
1,3,3,1,1.986087,0.522020
1,6,3,2,0.863028,0.478802
2,9,3,3,1.015609,0.459823
1,12,3,4,1.130968,0.501737
2,15,3,5,1.765637,0.486606
2,18,3,6,1.551216,0.486799
2,21,3,8,1.420455,0.517768
2,24,3,12,1.233157,0.501257
1,27,3,14,1.705977,0.495671
3,30,3,16,2.324050,0.505343
3,33,3,19,2.195954,0.611325
3,36,3,20,2.870246,0.532289
3,39,3,22,3.251781,0.469099
3,42,3,29,3.316269,0.397717
3,45,3,30,4.247164,0.420918
3,48,3,32,6.584270,0.615163
2,51,3,33,6.047605,0.552325
1,4,4,1,8.115724,0.396885
2,7,3,2,1.832530,0.501881
1,10,3,3,2.624499,0.411534
2,13,3,4,2.857337,0.451137
2,17,4,5,3.072660,0.448572
1,20,3,6,3.637578,0.433902
2,23,3,7,6.004155,0.488717
3,26,3,15,3.820560,0.260718
3,29,3,21,4.842292,0.433034
2,32,3,22,5.252799,0.245738
3,35,3,24,6.325547,0.425089
3,38,3,25,5.791939,0.396254
3,41,3,27,7.294682,0.564574
1,3,3,2,14.844313,0.913269
1,6,3,3,13.698848,0.807616
2,9,3,4,9.648473,0.718975
1,12,3,5,17.487618,0.645957
1,15,3,6,14.824412,0.678646
1,18,3,7,9.579249,0.583450
3,21,3,8,3.761929,0.402151
2,24,3,9,8.058804,0.548437
2,27,3,15,13.013973,0.370938
3,30,3,17,7.690662,0.363791
3,33,3,18,7.171906,0.631818
3,36,3,21,10.232114,0.590719
3,39,3,30,11.306556,0.114605
3,42,3,31,11.507474,0.091841
1,4,4,1,7.329280,0.544678
2,7,3,2,2.807448,0.500322
1,11,4,3,1.958490,0.458486
1,14,3,4,8.110434,0.489184
1,17,3,5,8.710497,0.506983
2,20,3,6,7.467164,0.494651
2,24,4,7,4.351701,0.446568
1,27,3,8,10.685058,0.502776
2,30,3,9,5.335407,0.464713
2,34,4,10,5.805740,0.481972
2,37,3,11,5.972776,0.633989
1,40,3,12,5.865639,0.841691
2,43,3,16,10.154209,1.096184
2,46,3,21,9.994068,0.652814
3,49,3,22,10.482999,0.537949
3,52,3,26,13.299763,0.540712
3,55,3,31,13.963212,0.578474
3,58,3,32,14.201822,0.552445
3,61,3,33,13.018682,0.686636
3,65,4,34,13.435273,0.605346
3,68,3,35,15.894276,0.338692
1,3,3,1,6.438957,0.508437
2,6,3,2,3.194069,0.475840
2,9,3,3,2.716323,0.488410
2,12,3,4,2.705734,0.452183
1,15,3,5,3.630776,0.480395
2,18,3,6,5.704424,0.440940
2,21,3,7,6.310229,0.474899
2,24,3,8,4.513071,0.610077
3,27,3,13,4.625376,0.568960
3,30,3,15,5.728154,0.540749
3,33,3,20,5.379876,0.563651
3,36,3,22,7.736224,0.521478
3,39,3,24,9.557405,0.566904
3,42,3,26,9.422431,0.550373
3,45,3,27,8.511456,0.535315
2,48,3,29,10.682381,0.571070
1,3,3,1,10.531688,0.568409
2,6,3,3,3.224548,0.602139
2,9,3,4,3.965078,0.538605
2,12,3,5,6.383294,0.531033
2,15,3,6,4.846575,0.517487
2,18,3,7,7.992960,0.492804
3,21,3,15,5.439330,0.490551
3,24,3,18,5.559061,0.320230
3,28,4,25,8.191376,0.434444
3,31,3,27,8.945769,0.487831
1,3,3,1,15.023257,0.295483
1,6,3,2,14.073555,0.879002
1,9,3,3,15.374617,0.470228
1,12,3,4,10.653102,0.445370
1,15,3,5,17.749223,0.459850
1,18,3,6,11.662280,0.408342
1,21,3,7,15.331118,0.404894
1,25,4,8,15.732261,0.381662
1,28,3,9,7.899332,0.368108
1,31,3,10,9.533963,0.525245
1,34,3,11,9.170789,0.391663
1,37,3,12,7.003363,0.344001
3,40,3,13,3.583352,0.280972
2,44,4,14,7.107291,0.255266
2,47,3,15,7.238484,0.276954
1,50,3,18,8.838822,0.430946
3,53,3,29,7.411460,0.575684
1,56,3,30,11.474963,0.519329
2,59,3,31,12.555327,0.436758
3,62,3,35,8.576451,0.533524
2,66,4,39,9.214521,0.513362
3,69,3,40,9.720735,0.299945
1,3,3,1,9.098111,0.678188
2,6,3,2,4.797422,0.628995
1,9,3,3,9.830941,0.654417
1,13,4,4,4.140082,0.614452
2,16,3,5,8.537309,0.630665
2,20,4,6,5.880968,0.641462
2,24,4,7,7.357897,0.656463
2,27,3,8,9.282066,0.764450
2,31,4,9,8.020380,0.632111
3,34,3,10,5.169138,0.662957
3,37,3,11,2.583648,0.663384
3,40,3,12,5.378764,0.741498
3,43,3,13,3.092695,0.670163
4,46,3,14,2.267423,0.675927
4,49,3,15,3.288379,0.712136
4,52,3,16,2.534545,0.635178
4,55,3,17,1.278478,0.646630
4,58,3,18,1.421158,0.710136
4,61,3,19,1.602432,0.632616
4,64,3,20,0.970291,0.666730
5,67,3,21,1.336926,0.600250
5,70,3,22,1.165605,0.678879
5,73,3,23,1.130514,0.621209
5,76,3,24,1.711681,0.597098
5,79,3,25,2.036765,0.682329
4,82,3,26,2.334525,0.673181
6,85,3,27,1.738733,0.607683
6,88,3,28,1.601686,0.713183
6,91,3,29,1.099655,0.606758
6,94,3,30,1.286949,0.594487
6,97,3,31,1.675993,0.666734
7,100,3,32,1.306212,0.626609
6,103,3,33,1.746686,0.673122
7,106,3,34,2.172192,0.692891
7,110,4,35,1.263848,0.579142
7,113,3,36,1.885538,0.577638
7,116,3,37,2.153614,0.621358
7,119,3,38,2.673607,0.694329
7,123,4,39,2.514349,0.732823
8,126,3,40,1.215994,0.674829
7,129,3,41,1.287536,0.569538
8,133,4,42,1.257180,0.644917
8,136,3,43,1.437124,0.593362
8,139,3,44,1.334674,0.632554
8,142,3,45,1.464893,0.541328
9,145,3,53,2.201426,0.411130
9,148,3,56,3.429635,0.853780
8,151,3,58,3.744540,0.391070
8,154,3,60,4.958723,0.388917
9,157,3,61,5.035751,0.375403
1,3,3,1,3.808261,0.403860
1,6,3,2,3.800668,0.272115
1,9,3,3,3.130124,0.243752
1,12,3,4,0.426138,0.170619
2,15,3,5,0.301728,0.124960
3,18,3,6,0.518673,0.173903
2,21,3,7,0.764935,0.331394
1,24,3,8,0.485452,0.201456
2,27,3,9,0.556360,0.167312
3,30,3,10,0.369633,0.150354
4,33,3,11,0.317558,0.053414
2,36,3,12,0.441535,0.224499
3,39,3,13,0.287772,0.099354
4,42,3,14,0.230507,0.079377
3,45,3,15,0.586437,0.262243
3,48,3,16,0.572306,0.363194
4,51,3,17,1.146941,0.495936
4,54,3,18,1.554736,0.767580
4,57,3,19,2.046376,0.701282
3,60,3,20,2.513039,0.514838
4,63,3,21,0.776034,0.438652
3,66,3,22,1.583419,0.423641
3,69,3,23,1.356337,0.311888
4,72,3,24,1.565182,0.554041
3,75,3,25,1.587938,0.471153
5,78,3,26,2.397576,0.568040
4,81,3,27,2.925116,0.330553
4,84,3,28,1.304507,0.385882
5,87,3,29,1.986623,0.518898
5,90,3,30,1.042171,0.531134
5,93,3,31,1.240801,0.403187
5,97,4,32,1.657259,0.502485
4,100,3,33,1.868370,0.364927
5,103,3,34,2.222919,0.512334
5,106,3,35,2.709581,0.380999
4,109,3,36,2.457394,0.366057
6,112,3,37,0.753627,0.519397
5,115,3,38,1.921838,0.301948
5,118,3,39,0.778258,0.385129
6,121,3,40,1.255295,0.556563
5,124,3,41,0.508938,0.112962
7,127,3,42,0.454011,0.150838
7,130,3,43,0.813928,0.313029
7,133,3,44,0.357238,0.173014
7,136,3,45,0.488367,0.168040
8,139,3,46,0.388212,0.151555
8,142,3,47,0.462347,0.280001
8,145,3,48,0.768134,0.414467
8,148,3,49,0.850998,0.334214
8,151,3,50,0.813224,0.350978
8,154,3,51,0.719842,0.217960
8,157,3,52,0.606187,0.259127
9,160,3,53,0.457463,0.155054
9,163,3,54,0.533593,0.262903
9,166,3,55,0.463897,0.221721
9,169,3,56,0.726883,0.426138
9,172,3,57,0.499304,0.119539
9,175,3,58,0.477301,0.268811
9,178,3,59,1.067983,0.195819
10,181,3,60,0.706599,0.321422
9,184,3,61,0.702101,0.171420
10,187,3,62,0.610316,0.302187
9,190,3,63,0.898548,0.260058
10,193,3,64,0.404573,0.143119
10,196,3,65,0.737961,0.334316
9,199,3,66,0.565912,0.058084
10,202,3,67,0.315233,0.110744
11,205,3,68,0.374575,0.239084
9,208,3,69,0.865132,0.207219
10,211,3,70,0.476547,0.110537
12,214,3,71,0.358853,0.199119
11,217,3,72,0.668007,0.119370
11,220,3,73,0.395669,0.118281
12,223,3,74,0.376852,0.117267
10,226,3,75,0.609041,0.125264
12,229,3,76,0.809331,0.292258
12,232,3,77,0.518029,0.116473
10,235,3,78,0.887623,0.298152
11,238,3,79,0.410667,0.131157
12,242,4,80,0.696867,0.303461
12,246,4,81,0.450547,0.206099
12,249,3,82,0.562658,0.166737
12,252,3,86,0.839995,0.194552
12,256,4,90,0.994548,0.146272
1,3,3,1,3.479035,0.399514
2,6,3,2,1.458443,0.360262
2,10,4,3,0.567821,0.236241
1,13,3,4,0.812704,0.325981
1,16,3,5,0.837517,0.294820
3,19,3,6,0.426241,0.076438
3,22,3,7,0.629280,0.078911
2,25,3,8,0.789712,0.404440
3,28,3,9,0.666527,0.218507
3,32,4,10,0.655457,0.342661
