1,3,3,1,0.111834
1,6,3,2,0.117200
1,9,3,3,0.146459
1,12,3,4,0.161971
1,16,4,5,0.169490
2,19,3,6,0.057298
2,22,3,7,0.057498
3,25,3,8,0.058152
3,28,3,9,0.057321
3,31,3,10,0.057489
4,34,3,11,0.057414
5,37,3,12,0.057438
4,40,3,13,0.057365
5,43,3,14,0.057391
5,46,3,15,0.057356
7,49,3,16,0.057399
9,52,3,17,0.057464
1,3,3,1,0.085039
1,6,3,2,0.115610
1,9,3,3,0.145171
1,13,4,4,0.145841
2,16,3,5,0.057278
2,19,3,6,0.057425
3,22,3,7,0.057307
4,25,3,8,0.058020
4,28,3,9,0.058961
3,31,3,10,0.059870
4,34,3,11,0.060918
5,37,3,12,0.057297
4,40,3,13,0.057212
5,43,3,14,0.058080
5,46,3,15,0.057266
7,49,3,16,0.057306
8,52,3,17,0.057397
9,55,3,22,0.086371
10,58,3,25,0.115848
10,61,3,28,0.145449
